word	nodeType	synsetCount	unit	count
act	VERB	15	02x01_-_Follow_Mama_and_Papa	1
add	VERB	7	02x01_-_Follow_Mama_and_Papa	1
ask	VERB	7	02x01_-_Follow_Mama_and_Papa	3
attract	VERB	3	02x01_-_Follow_Mama_and_Papa	1
avenge	VERB	1	02x01_-_Follow_Mama_and_Papa	2
be	VERB	14	02x01_-_Follow_Mama_and_Papa	5
believe	VERB	5	02x01_-_Follow_Mama_and_Papa	1
belong	VERB	6	02x01_-_Follow_Mama_and_Papa	1
bet	VERB	5	02x01_-_Follow_Mama_and_Papa	1
break	VERB	75	02x01_-_Follow_Mama_and_Papa	1
bury	VERB	6	02x01_-_Follow_Mama_and_Papa	1
call	VERB	41	02x01_-_Follow_Mama_and_Papa	1
carry	VERB	41	02x01_-_Follow_Mama_and_Papa	2
catch	VERB	39	02x01_-_Follow_Mama_and_Papa	2
change	VERB	20	02x01_-_Follow_Mama_and_Papa	2
charm	VERB	8	02x01_-_Follow_Mama_and_Papa	1
codename	VERB	0	02x01_-_Follow_Mama_and_Papa	2
come	VERB	22	02x01_-_Follow_Mama_and_Papa	5
complete	VERB	10	02x01_-_Follow_Mama_and_Papa	1
concentrate	VERB	11	02x01_-_Follow_Mama_and_Papa	1
continue	VERB	10	02x01_-_Follow_Mama_and_Papa	2
create	VERB	6	02x01_-_Follow_Mama_and_Papa	2
destroy	VERB	4	02x01_-_Follow_Mama_and_Papa	1
die	VERB	14	02x01_-_Follow_Mama_and_Papa	5
disguise	VERB	4	02x01_-_Follow_Mama_and_Papa	1
divorce	VERB	3	02x01_-_Follow_Mama_and_Papa	1
do	VERB	16	02x01_-_Follow_Mama_and_Papa	11
dress	VERB	21	02x01_-_Follow_Mama_and_Papa	1
drink	VERB	10	02x01_-_Follow_Mama_and_Papa	1
drop	VERB	32	02x01_-_Follow_Mama_and_Papa	1
dump	VERB	10	02x01_-_Follow_Mama_and_Papa	1
enjoy	VERB	5	02x01_-_Follow_Mama_and_Papa	2
excuse	VERB	9	02x01_-_Follow_Mama_and_Papa	1
fail	VERB	11	02x01_-_Follow_Mama_and_Papa	1
feel	VERB	17	02x01_-_Follow_Mama_and_Papa	8
find	VERB	18	02x01_-_Follow_Mama_and_Papa	3
fix	VERB	17	02x01_-_Follow_Mama_and_Papa	1
follow	VERB	24	02x01_-_Follow_Mama_and_Papa	2
forget	VERB	4	02x01_-_Follow_Mama_and_Papa	1
forgive	VERB	2	02x01_-_Follow_Mama_and_Papa	1
gain	VERB	13	02x01_-_Follow_Mama_and_Papa	2
get	VERB	37	02x01_-_Follow_Mama_and_Papa	3
give	VERB	45	02x01_-_Follow_Mama_and_Papa	3
glimpse	VERB	4	02x01_-_Follow_Mama_and_Papa	1
go	VERB	35	02x01_-_Follow_Mama_and_Papa	18
got	VERB	36	02x01_-_Follow_Mama_and_Papa	1
guard	VERB	14	02x01_-_Follow_Mama_and_Papa	1
guess	VERB	6	02x01_-_Follow_Mama_and_Papa	1
gulp	VERB	4	02x01_-_Follow_Mama_and_Papa	1
have	VERB	20	02x01_-_Follow_Mama_and_Papa	21
head	VERB	42	02x01_-_Follow_Mama_and_Papa	3
hear	VERB	5	02x01_-_Follow_Mama_and_Papa	2
help	VERB	12	02x01_-_Follow_Mama_and_Papa	3
hide	VERB	6	02x01_-_Follow_Mama_and_Papa	2
hold	VERB	45	02x01_-_Follow_Mama_and_Papa	1
hurry	VERB	6	02x01_-_Follow_Mama_and_Papa	1
hurt	VERB	14	02x01_-_Follow_Mama_and_Papa	2
improvise	VERB	2	02x01_-_Follow_Mama_and_Papa	1
injure	VERB	3	02x01_-_Follow_Mama_and_Papa	1
invent	VERB	2	02x01_-_Follow_Mama_and_Papa	1
invest	VERB	5	02x01_-_Follow_Mama_and_Papa	1
invite	VERB	9	02x01_-_Follow_Mama_and_Papa	1
k*ll	VERB	0	02x01_-_Follow_Mama_and_Papa	2
keep	VERB	25	02x01_-_Follow_Mama_and_Papa	2
know	VERB	12	02x01_-_Follow_Mama_and_Papa	3
launch	VERB	8	02x01_-_Follow_Mama_and_Papa	1
learn	VERB	6	02x01_-_Follow_Mama_and_Papa	2
leave	VERB	17	02x01_-_Follow_Mama_and_Papa	1
let	VERB	8	02x01_-_Follow_Mama_and_Papa	8
lift	VERB	36	02x01_-_Follow_Mama_and_Papa	3
like	VERB	11	02x01_-_Follow_Mama_and_Papa	3
listen	VERB	3	02x01_-_Follow_Mama_and_Papa	1
live	VERB	19	02x01_-_Follow_Mama_and_Papa	1
locate	VERB	4	02x01_-_Follow_Mama_and_Papa	1
look	VERB	14	02x01_-_Follow_Mama_and_Papa	5
lower	VERB	16	02x01_-_Follow_Mama_and_Papa	1
maintain	VERB	10	02x01_-_Follow_Mama_and_Papa	2
make	VERB	51	02x01_-_Follow_Mama_and_Papa	10
marry	VERB	2	02x01_-_Follow_Mama_and_Papa	1
mean	VERB	16	02x01_-_Follow_Mama_and_Papa	1
need	VERB	7	02x01_-_Follow_Mama_and_Papa	1
notice	VERB	11	02x01_-_Follow_Mama_and_Papa	1
pick	VERB	21	02x01_-_Follow_Mama_and_Papa	2
place	VERB	32	02x01_-_Follow_Mama_and_Papa	3
play	VERB	52	02x01_-_Follow_Mama_and_Papa	1
plot	VERB	8	02x01_-_Follow_Mama_and_Papa	1
pretend	VERB	8	02x01_-_Follow_Mama_and_Papa	2
put	VERB	10	02x01_-_Follow_Mama_and_Papa	3
quit	VERB	5	02x01_-_Follow_Mama_and_Papa	1
raid	VERB	6	02x01_-_Follow_Mama_and_Papa	1
read	VERB	12	02x01_-_Follow_Mama_and_Papa	2
recommend	VERB	3	02x01_-_Follow_Mama_and_Papa	1
relax	VERB	8	02x01_-_Follow_Mama_and_Papa	1
release	VERB	22	02x01_-_Follow_Mama_and_Papa	1
require	VERB	4	02x01_-_Follow_Mama_and_Papa	1
resort	VERB	6	02x01_-_Follow_Mama_and_Papa	1
ride	VERB	16	02x01_-_Follow_Mama_and_Papa	1
ruin	VERB	12	02x01_-_Follow_Mama_and_Papa	1
run	VERB	57	02x01_-_Follow_Mama_and_Papa	1
rush	VERB	16	02x01_-_Follow_Mama_and_Papa	1
say	VERB	12	02x01_-_Follow_Mama_and_Papa	3
see	VERB	25	02x01_-_Follow_Mama_and_Papa	3
seem	VERB	4	02x01_-_Follow_Mama_and_Papa	1
serialize	VERB	1	02x01_-_Follow_Mama_and_Papa	1
serve	VERB	16	02x01_-_Follow_Mama_and_Papa	2
set	VERB	45	02x01_-_Follow_Mama_and_Papa	2
shoot	VERB	22	02x01_-_Follow_Mama_and_Papa	3
shop	VERB	7	02x01_-_Follow_Mama_and_Papa	1
